success,code,data,responseTimestamp
True,SUCCESS,"[{'entityName': 'bengaluru urban', 'metric': {'type': 'TOTAL', 'count': 21606, 'amount': 17636524.0}}, {'entityName': 'pune', 'metric': {'type': 'TOTAL', 'count': 10913, 'amount': 6482027.0}}, {'entityName': 'thane', 'metric': {'type': 'TOTAL', 'count': 6971, 'amount': 4869909.0}}, {'entityName': 'mumbai suburban', 'metric': {'type': 'TOTAL', 'count': 5505, 'amount': 3893302.0}}, {'entityName': 'hyderabad', 'metric': {'type': 'TOTAL', 'count': 5067, 'amount': 2446647.0}}, {'entityName': 'rangareddy', 'metric': {'type': 'TOTAL', 'count': 4821, 'amount': 2864273.0}}, {'entityName': 'jaipur', 'metric': {'type': 'TOTAL', 'count': 4630, 'amount': 2056318.0}}, {'entityName': 'medchal malkajgiri', 'metric': {'type': 'TOTAL', 'count': 4375, 'amount': 2393448.0}}, {'entityName': 'visakhapatnam', 'metric': {'type': 'TOTAL', 'count': 4006, 'amount': 2403199.0}}, {'entityName': 'kolkata', 'metric': {'type': 'TOTAL', 'count': 3750, 'amount': 2611912.0}}]",1692610949866
True,SUCCESS,"[{'entityName': '560068', 'metric': {'type': 'TOTAL', 'count': 870, 'amount': 614123.0}}, {'entityName': '421302', 'metric': {'type': 'TOTAL', 'count': 802, 'amount': 538000.0}}, {'entityName': '700046', 'metric': {'type': 'TOTAL', 'count': 750, 'amount': 471141.0}}, {'entityName': '201301', 'metric': {'type': 'TOTAL', 'count': 697, 'amount': 383781.0}}, {'entityName': '560043', 'metric': {'type': 'TOTAL', 'count': 682, 'amount': 549677.0}}, {'entityName': '500072', 'metric': {'type': 'TOTAL', 'count': 677, 'amount': 374999.0}}, {'entityName': '560078', 'metric': {'type': 'TOTAL', 'count': 658, 'amount': 521459.0}}, {'entityName': '410501', 'metric': {'type': 'TOTAL', 'count': 649, 'amount': 265413.0}}, {'entityName': '560091', 'metric': {'type': 'TOTAL', 'count': 648, 'amount': 492850.0}}, {'entityName': '110059', 'metric': {'type': 'TOTAL', 'count': 632, 'amount': 446103.0}}]",1692610949866
True,SUCCESS,"[{'entityName': 'maharashtra', 'metric': {'type': 'TOTAL', 'count': 70381, 'amount': 46763103.0}}, {'entityName': 'karnataka', 'metric': {'type': 'TOTAL', 'count': 40969, 'amount': 39501006.0}}, {'entityName': 'andhra pradesh', 'metric': {'type': 'TOTAL', 'count': 33205, 'amount': 22730687.0}}, {'entityName': 'telangana', 'metric': {'type': 'TOTAL', 'count': 28870, 'amount': 20935651.0}}, {'entityName': 'uttar pradesh', 'metric': {'type': 'TOTAL', 'count': 25952, 'amount': 25137571.0}}, {'entityName': 'rajasthan', 'metric': {'type': 'TOTAL', 'count': 18281, 'amount': 14357445.0}}, {'entityName': 'tamil nadu', 'metric': {'type': 'TOTAL', 'count': 17682, 'amount': 16444344.0}}, {'entityName': 'west bengal', 'metric': {'type': 'TOTAL', 'count': 15200, 'amount': 12396029.0}}, {'entityName': 'madhya pradesh', 'metric': {'type': 'TOTAL', 'count': 14803, 'amount': 9787391.0}}, {'entityName': 'gujarat', 'metric': {'type': 'TOTAL', 'count': 14676, 'amount': 10263998.0}}]",1692611001790
True,SUCCESS,"[{'entityName': 'bengaluru urban', 'metric': {'type': 'TOTAL', 'count': 21918, 'amount': 19572756.0}}, {'entityName': 'pune', 'metric': {'type': 'TOTAL', 'count': 14949, 'amount': 9422249.0}}, {'entityName': 'thane', 'metric': {'type': 'TOTAL', 'count': 7446, 'amount': 5734857.0}}, {'entityName': 'rangareddy', 'metric': {'type': 'TOTAL', 'count': 5618, 'amount': 4515303.0}}, {'entityName': 'hyderabad', 'metric': {'type': 'TOTAL', 'count': 5616, 'amount': 3945773.0}}, {'entityName': 'prakasam', 'metric': {'type': 'TOTAL', 'count': 5308, 'amount': 2719134.0}}, {'entityName': 'mumbai suburban', 'metric': {'type': 'TOTAL', 'count': 5293, 'amount': 3659655.0}}, {'entityName': 'medchal malkajgiri', 'metric': {'type': 'TOTAL', 'count': 5094, 'amount': 3743459.0}}, {'entityName': 'visakhapatnam', 'metric': {'type': 'TOTAL', 'count': 4655, 'amount': 3497573.0}}, {'entityName': 'nashik', 'metric': {'type': 'TOTAL', 'count': 4607, 'amount': 2827696.0}}]",1692611001790
True,SUCCESS,"[{'entityName': '523002', 'metric': {'type': 'TOTAL', 'count': 1409, 'amount': 631953.0}}, {'entityName': '110042', 'metric': {'type': 'TOTAL', 'count': 1036, 'amount': 537398.0}}, {'entityName': '560068', 'metric': {'type': 'TOTAL', 'count': 982, 'amount': 719927.0}}, {'entityName': '410501', 'metric': {'type': 'TOTAL', 'count': 948, 'amount': 578550.0}}, {'entityName': '500072', 'metric': {'type': 'TOTAL', 'count': 915, 'amount': 574372.0}}, {'entityName': '421302', 'metric': {'type': 'TOTAL', 'count': 783, 'amount': 586297.0}}, {'entityName': '712138', 'metric': {'type': 'TOTAL', 'count': 724, 'amount': 263805.0}}, {'entityName': '411033', 'metric': {'type': 'TOTAL', 'count': 722, 'amount': 405598.0}}, {'entityName': '560076', 'metric': {'type': 'TOTAL', 'count': 719, 'amount': 556220.0}}, {'entityName': '412105', 'metric': {'type': 'TOTAL', 'count': 713, 'amount': 452166.0}}]",1692611001790
True,SUCCESS,"[{'entityName': 'maharashtra', 'metric': {'type': 'TOTAL', 'count': 52268, 'amount': 41313307.0}}, {'entityName': 'karnataka', 'metric': {'type': 'TOTAL', 'count': 47468, 'amount': 48078366.0}}, {'entityName': 'uttar pradesh', 'metric': {'type': 'TOTAL', 'count': 32799, 'amount': 32641118.000000004}}, {'entityName': 'telangana', 'metric': {'type': 'TOTAL', 'count': 27080, 'amount': 20925217.0}}, {'entityName': 'west bengal', 'metric': {'type': 'TOTAL', 'count': 24839, 'amount': 21424336.999999996}}, {'entityName': 'tamil nadu', 'metric': {'type': 'TOTAL', 'count': 23107, 'amount': 23402918.0}}, {'entityName': 'andhra pradesh', 'metric': {'type': 'TOTAL', 'count': 23075, 'amount': 19914337.999999996}}, {'entityName': 'bihar', 'metric': {'type': 'TOTAL', 'count': 18030, 'amount': 18234941.0}}, {'entityName': 'delhi', 'metric': {'type': 'TOTAL', 'count': 16679, 'amount': 15007079.000000002}}, {'entityName': 'rajasthan', 'metric': {'type': 'TOTAL', 'count': 16643, 'amount': 12793862.0}}]",1692611054150
True,SUCCESS,"[{'entityName': 'bengaluru urban', 'metric': {'type': 'TOTAL', 'count': 27498, 'amount': 26210017.0}}, {'entityName': 'pune', 'metric': {'type': 'TOTAL', 'count': 9943, 'amount': 8127896.0}}, {'entityName': 'thane', 'metric': {'type': 'TOTAL', 'count': 7829, 'amount': 6194341.0}}, {'entityName': 'mumbai suburban', 'metric': {'type': 'TOTAL', 'count': 5520, 'amount': 4552921.0}}, {'entityName': 'hyderabad', 'metric': {'type': 'TOTAL', 'count': 5201, 'amount': 3813732.0}}, {'entityName': 'rangareddy', 'metric': {'type': 'TOTAL', 'count': 5064, 'amount': 4209112.0}}, {'entityName': 'medchal malkajgiri', 'metric': {'type': 'TOTAL', 'count': 4896, 'amount': 3968450.0}}, {'entityName': 'kolkata', 'metric': {'type': 'TOTAL', 'count': 4808, 'amount': 3468389.0}}, {'entityName': 'gurugram', 'metric': {'type': 'TOTAL', 'count': 4501, 'amount': 3651728.0}}, {'entityName': 'chennai', 'metric': {'type': 'TOTAL', 'count': 4367, 'amount': 3861435.0}}]",1692611054150
True,SUCCESS,"[{'entityName': '712138', 'metric': {'type': 'TOTAL', 'count': 1350, 'amount': 480755.0}}, {'entityName': '421301', 'metric': {'type': 'TOTAL', 'count': 1176, 'amount': 670772.0}}, {'entityName': '560068', 'metric': {'type': 'TOTAL', 'count': 1126, 'amount': 984821.0}}, {'entityName': '421302', 'metric': {'type': 'TOTAL', 'count': 1001, 'amount': 736789.0}}, {'entityName': '122001', 'metric': {'type': 'TOTAL', 'count': 866, 'amount': 704138.0}}, {'entityName': '201301', 'metric': {'type': 'TOTAL', 'count': 846, 'amount': 600065.0}}, {'entityName': '560058', 'metric': {'type': 'TOTAL', 'count': 841, 'amount': 725815.0}}, {'entityName': '122006', 'metric': {'type': 'TOTAL', 'count': 806, 'amount': 481888.0}}, {'entityName': '500072', 'metric': {'type': 'TOTAL', 'count': 803, 'amount': 638626.0}}, {'entityName': '560043', 'metric': {'type': 'TOTAL', 'count': 800, 'amount': 743863.0}}]",1692611054150
True,SUCCESS,"[{'entityName': 'maharashtra', 'metric': {'type': 'TOTAL', 'count': 82423, 'amount': 93262227.0}}, {'entityName': 'karnataka', 'metric': {'type': 'TOTAL', 'count': 74436, 'amount': 90723288.0}}, {'entityName': 'uttar pradesh', 'metric': {'type': 'TOTAL', 'count': 44132, 'amount': 59654951.0}}, {'entityName': 'telangana', 'metric': {'type': 'TOTAL', 'count': 34848, 'amount': 38845492.0}}, {'entityName': 'delhi', 'metric': {'type': 'TOTAL', 'count': 34251, 'amount': 36578331.0}}, {'entityName': 'tamil nadu', 'metric': {'type': 'TOTAL', 'count': 33037, 'amount': 42184290.00000001}}, {'entityName': 'west bengal', 'metric': {'type': 'TOTAL', 'count': 26320, 'amount': 31282871.0}}, {'entityName': 'andhra pradesh', 'metric': {'type': 'TOTAL', 'count': 25423, 'amount': 31610335.0}}, {'entityName': 'bihar', 'metric': {'type': 'TOTAL', 'count': 22456, 'amount': 27313812.999999996}}, {'entityName': 'haryana', 'metric': {'type': 'TOTAL', 'count': 19489, 'amount': 25885838.0}}]",1692611105644
True,SUCCESS,"[{'entityName': 'bengaluru urban', 'metric': {'type': 'TOTAL', 'count': 44650, 'amount': 50064816.0}}, {'entityName': 'pune', 'metric': {'type': 'TOTAL', 'count': 16039, 'amount': 18693479.0}}, {'entityName': 'thane', 'metric': {'type': 'TOTAL', 'count': 13362, 'amount': 13856390.0}}, {'entityName': 'mumbai suburban', 'metric': {'type': 'TOTAL', 'count': 9319, 'amount': 9168680.0}}, {'entityName': 'hyderabad', 'metric': {'type': 'TOTAL', 'count': 7016, 'amount': 7001072.0}}, {'entityName': 'rangareddy', 'metric': {'type': 'TOTAL', 'count': 6835, 'amount': 7932450.0}}, {'entityName': 'medchal malkajgiri', 'metric': {'type': 'TOTAL', 'count': 6553, 'amount': 7341035.0}}, {'entityName': 'gurugram', 'metric': {'type': 'TOTAL', 'count': 5951, 'amount': 6492219.0}}, {'entityName': 'chennai', 'metric': {'type': 'TOTAL', 'count': 5769, 'amount': 6143037.0}}, {'entityName': 'jaipur', 'metric': {'type': 'TOTAL', 'count': 5571, 'amount': 6278712.0}}]",1692611105644
